model_size,FLOP,loss,num_tokens,d_model,n_layers
6795600349.289497,9.993852799709755e+18,5.005581996196243,245105957.9245427,3584.0,40.0
2979521172.1967993,9.22754122304918e+18,4.665232074214,516164661.4650344,2560.0,34.0
2638630840.924473,9.753046550244106e+18,3.7655629197937,616042128.0471745,2560.0,30.0
2282804341.3355317,9.62270802690676e+18,3.793872243318985,702550210.7696397,2304.0,32.0
2006673381.123053,9.77173114380632e+18,3.446995430227908,811602861.044372,2304.0,28.0
1730543416.124146,9.08578900048968e+18,3.395737776160633,875041997.0045102,2304.0,24.0
2979521172.1967993,9.691016918183068e+19,2.628284835801397,5420902866.660892,2560.0,34.0
2638630840.924473,9.8356280085446e+19,2.585322489772079,6212583091.703336,2560.0,30.0
2006673381.123053,9.69281625689239e+19,2.577587469373751,8050484903.749605,2304.0,28.0
1730543416.124146,9.8125331160455e+19,2.566031188935832,9450338955.785326,2304.0,24.0
1793808923.9024398,8.811341299700383e+18,3.4059279641864753,818680776.817937,2176.0,28.0
1609079314.2122664,9.746413883769387e+18,3.2856379825927915,1009522836.8259768,2176.0,25.0
1429232579.4437304,9.720361902576556e+18,3.1838780021322792,1133517623.6513124,2048.0,25.0
1265593128.5465355,9.389745074057572e+18,3.131833845205492,1236540778.4255252,2048.0,22.0
1793808923.9024398,9.72604311906606e+19,2.577587469373751,9036677011.197498,2176.0,28.0
1265593128.5465355,9.778503990571033e+19,2.554520985765487,12877366574.886919,2048.0,22.0
1143251954.0462997,9.559185749312727e+18,3.094521210858053,1393566500.5834165,1792.0,26.0
1017958924.6402752,9.617936820167483e+18,3.07143034313885,1574709382.8902533,1792.0,23.0
816341492.834805,9.292327618897865e+18,3.048504933511402,1897148783.2111337,1536.0,25.0
632223970.1991626,9.387219872346272e+18,2.998680336233436,2474655690.289924,1536.0,19.0
586598189.8569033,9.31041358998686e+18,2.9852294397432493,2645312626.5351734,1408.0,21.0
552481732.8553306,9.219055166720772e+18,2.9852294397432493,2781104067.481997,1280.0,24.0
424609581.1910424,9.395423098256298e+18,2.962954091342755,3687867441.2314873,1280.0,18.0
1143252494.4894495,9.239820734235676e+19,2.554520985765487,13470078830.314104,1792.0,26.0
1017959165.2472816,9.638582780528e+19,2.546878120316004,15780892969.622223,1792.0,23.0
816341685.7870721,9.414553761078442e+19,2.566031188935832,19221023755.515324,1536.0,25.0
632224269.06689,8.92550747421947e+19,2.566031188935832,23529381136.09793,1536.0,19.0
586598328.5065396,8.955921875825392e+19,2.585322489772079,25445923955.684406,1408.0,21.0
552481994.0269529,8.459725377977074e+19,2.577587469373751,25520365277.17247,1280.0,24.0
424609581.1910424,8.938193222414103e+19,2.5969714788717795,35083967399.50383,1280.0,18.0
552481994.0269529,5.484159150896782e+18,3.1838780021322792,1654400568.762921,1280.0,24.0
424609581.1910424,5.596644720489731e+18,3.122463718742479,2196780669.5863123,1280.0,18.0
1793809771.8797748,2.8925320644970627e+19,2.836974331044393,2687512828.693007,2176.0,28.0
1609079694.5377884,2.848754204723974e+19,2.8242551231206,2950707594.320745,2176.0,25.0
1429233255.0769129,2.9035179114482905e+19,2.8031746497396575,3385868962.8797274,2048.0,25.0
1265593427.6849065,2.9234191671389647e+19,2.7697776574701383,3849866135.507468,2048.0,22.0
1609079694.5377884,5.861759895011209e+19,2.6599757580335908,6071545031.723877,2176.0,25.0
1429233255.0769129,5.812652960869033e+19,2.6599757580335908,6778288218.783703,2048.0,25.0
1265593427.6849065,5.856190515229448e+19,2.6480441566036577,7712048207.485184,2048.0,22.0
305635704.16684055,5.130795602711605e+18,3.07143034313885,2797881886.1592627,1024.0,20.0
278352106.50014794,5.507252807696336e+18,3.07143034313885,3297533758.5559154,1024.0,18.0
216725142.79308945,5.394452556879037e+18,3.0852627199797436,4148459263.0069976,896.0,18.0
174942805.3902319,5.615533392166412e+18,3.048504933511402,5349875520.4024725,896.0,14.0
139739645.58438575,5.401634154627279e+18,3.0576531188301495,6442497798.9577875,768.0,15.0
105811837.49604878,4.745385884898523e+18,3.094521210858053,7474566798.942707,640.0,16.0
73824671.6486735,5.769735572993707e+18,3.094521210858053,13025761903.49002,640.0,10.0
57334197.40687078,5.799989109562024e+18,3.1601132738955617,16860179357.421824,576.0,9.0
73824671.6486735,1.3972367362937152e+18,3.4059279641864753,3154403320.4849367,640.0,10.0
105811837.49604878,2.0558971596900728e+18,3.3004424648947897,3238291052.528101,640.0,16.0
89818213.72558393,1.7656304230443515e+18,3.325255034889082,3276303602.2195783,640.0,13.0
162765880.3332718,3.933601463772419e+18,3.108464556029377,4027872688.180677,768.0,18.0
139739645.58438575,3.4098717015292923e+18,3.131833845205492,4066934246.743103,768.0,15.0
116713554.48183718,2.8672714001875866e+18,3.1982167939721484,4094456456.4032526,768.0,12.0
195834198.52539623,5.39748090701735e+18,3.048504933511402,4593580477.481816,896.0,16.0
216725296.4700179,6.372103149390175e+18,3.021224272849423,4900291792.711656,896.0,18.0
174942929.4398582,5.150785831304684e+18,3.048504933511402,4907110610.106536,896.0,14.0
251068939.17289764,8.13612433491096e+18,2.976297938663035,5400989572.634237,1024.0,16.0
305636065.37064266,1.0198140877817889e+19,2.914521190461052,5561157006.26423,1024.0,20.0
278352369.6679022,9.295220597002336e+18,2.940838357413416,5565619702.401144,1024.0,18.0
12568979685.05218,6.081847122917071e+20,2.524086450542411,8064625869.022058,4608.0,47.0
1143252764.7111204,2.8708129747671486e+19,2.757359717151634,4185153483.960817,1792.0,26.0
1017959646.461467,2.8905042863662887e+19,2.7449912897159163,4732512885.643323,1792.0,23.0
816342071.6917455,2.8236501657994772e+19,2.7697776574701383,5764842671.789718,1536.0,25.0
632224418.5008065,2.784444408031644e+19,2.736778556603052,7340337614.699107,1536.0,19.0
586598605.8059111,2.824494046355417e+19,2.736778556603052,8025061823.649483,1408.0,21.0
552482124.612811,2.762240969487353e+19,2.7449912897159163,8332821541.279667,1280.0,24.0
1143252764.7111204,5.724003739725731e+19,2.616495387341047,8344616805.091924,1792.0,26.0
1017959646.461467,5.362153673164827e+19,2.628284835801397,8779250552.488708,1792.0,23.0
424609581.1910424,2.677641768342486e+19,2.757359717151634,10510210975.580679,1280.0,18.0
816341685.7870721,5.582454613549142e+19,2.628284835801397,11397299910.773767,1536.0,25.0
632224269.06689,5.759912882157757e+19,2.640121479394902,15184255450.624891,1536.0,19.0
552481994.0269529,5.346771865708087e+19,2.640121479394902,16129550897.928581,1280.0,24.0
424609581.1910424,5.6699083818467525e+19,2.6599757580335908,22255379345.352547,1280.0,18.0
1592872901.2321882,9.271929626377262e+19,2.6086671008223323,9701474632.412956,2048.0,28.0
1265593427.6849065,7.462026669698492e+19,2.6480441566036577,9826782317.378239,2048.0,22.0
1793809771.8797748,1.1901370418705375e+20,2.554520985765487,11057815424.721851,2176.0,28.0
1609079694.5377884,1.0693461541147923e+20,2.5969714788717795,11076167303.840559,2176.0,25.0
305635704.16684055,9.064103959507466e+18,2.9496634486869637,4942760196.716388,1024.0,20.0
278352106.50014794,9.159930978025012e+18,2.940838357413416,5484618680.273423,1024.0,18.0
216725142.79308945,8.995867482538874e+18,2.9496634486869637,6918030957.40131,896.0,18.0
174942805.3902319,9.351702074984495e+18,2.940838357413416,8909294720.755877,896.0,14.0
139739645.58438575,9.074816471874256e+18,2.976297938663035,10823481093.385878,768.0,15.0
105811837.49604878,8.703231302287945e+18,2.998680336233436,13708660436.366491,640.0,16.0
488545738.5132437,1.687989538119788e+19,2.836974331044393,5758551707.825507,1280.0,21.0
552481994.0269529,1.939137038063048e+19,2.8031746497396575,5849774469.357177,1280.0,24.0
509239983.3099576,2.062417244855716e+19,2.790606978320643,6749984658.347844,1408.0,18.0
586598605.8059111,2.4039512626982416e+19,2.7780894167931174,6830199387.067873,1408.0,21.0
663957062.9504797,2.737892125546082e+19,2.7449912897159163,6872663606.136138,1408.0,24.0
632224418.5008065,2.7842434837667873e+19,2.736778556603052,7339807939.215273,1536.0,19.0
816342071.6917455,3.681617949318347e+19,2.704172606664561,7516493548.855794,1536.0,25.0
724283353.8088524,3.2751006267934257e+19,2.724508563490356,7536416536.360542,1536.0,22.0
1143252764.7111204,5.2073793199238955e+19,2.640121479394902,7591466910.118965,1792.0,26.0
1017959646.461467,4.721544374487925e+19,2.6719551236587806,7730405278.343631,1792.0,23.0
892666348.4849818,4.386534028896152e+19,2.6719551236587806,8189946961.222602,1792.0,20.0
73824671.6486735,2.8905020741017277e+18,3.222268068835837,6525600926.154305,640.0,10.0
89818277.41448976,3.5199587520509896e+18,3.1838780021322792,6531630408.599402,640.0,13.0
116713582.06850936,5.445592965022768e+18,3.07143034313885,7776291425.714669,768.0,12.0
139739744.67191777,6.836883261202216e+18,3.012185078911002,8154305321.002163,768.0,15.0
162765995.74840203,7.99750935882534e+18,2.962954091342755,8189168876.104,768.0,18.0
174943053.48957258,9.986502766586448e+18,2.940838357413416,9514050970.098192,896.0,14.0
195834244.8131977,1.1541294052708788e+19,2.8927734567445684,9822332200.477156,896.0,16.0
251069057.85932297,1.5753731022006288e+19,2.845487739252996,10457767513.797802,1024.0,16.0
278352501.2518727,1.8296648928134353e+19,2.8115866292955167,10955322744.748917,1024.0,18.0
305636137.61145467,2.0328966553395737e+19,2.7780894167931174,11085603681.26325,1024.0,20.0
12568994539.217417,1.0140094329607288e+21,2.416772019301729,13445910222.397472,4608.0,47.0
11451830548.130594,1.0148429509647972e+21,2.405931333857799,14769734071.473562,4352.0,47.0
6795609986.633339,2.9910960385882364e+20,2.524086450542411,7335853696.900373,3584.0,40.0
4516062221.450261,2.9883707794373856e+20,2.4569279142530447,11028674366.070913,3072.0,36.0
6795609986.633339,6.028362873379071e+20,2.405931333857799,14784944214.56546,3584.0,40.0
4516062221.450261,5.626412650070955e+20,2.387978623765955,20764449108.439293,3072.0,36.0
16183346310.7305,2.9288609265185467e+21,2.286445840825226,30163322120.186207,5120.0,47.0
12568994539.217417,2.9741731989753425e+21,2.265984744495722,39437962329.91446,4608.0,47.0
11451830548.130594,3.019197987836002e+21,2.265984744495722,43940544048.78322,4352.0,47.0
2006676701.2375,1.9583792871232835e+20,2.486552675770553,16265527359.369583,2304.0,28.0
2282807578.749333,2.2400714751459947e+20,2.475404538069587,16354652460.993143,2304.0,32.0
1730545870.3358526,1.7008706430359824e+20,2.5052520841348382,16380868335.54903,2304.0,24.0
2297743485.754267,2.404494088288999e+20,2.464300850287136,17440981432.410915,2560.0,26.0
2979525397.676302,3.2633203456306735e+20,2.434941196776266,18254139558.46626,2560.0,34.0
1592874407.2124715,1.7004494789916567e+20,2.494014512040758,17792253125.25258,2048.0,28.0
1265594923.3778238,1.47990006098827e+20,2.524086450542411,19488859002.88003,2048.0,22.0
1429234944.1612675,1.68442227995902e+20,2.5052520841348382,19642470106.591496,2048.0,25.0
1609081596.1667397,2.1291189155295884e+20,2.4569279142530447,22053148419.173973,2176.0,25.0
1424351714.2334597,1.8976354573852413e+20,2.494014512040758,22204668486.749516,2176.0,22.0
1793811467.8356428,2.3966868535226955e+20,2.4569279142530447,22268104317.696808,2176.0,28.0
9293222062.867502,1.0122833531682387e+21,2.3595282724312296,18154509927.060577,4096.0,42.0
6795609986.633339,9.283223717467074e+20,2.341916558626986,22767697910.18702,3584.0,40.0
4516062221.450261,9.946530259730888e+20,2.303640402958185,36707976152.64299,3072.0,36.0
4516062221.450261,9.89780296659889e+20,2.3209590623040324,36528146577.14632,3072.0,36.0
6795609986.633339,1.5795547450809503e+21,2.2933071812951775,38739586983.06367,3584.0,40.0
9293224259.433878,2.4417894814323573e+21,2.2592051499614563,43791573539.069084,4096.0,42.0
1592874407.2124715,1.857685955147911e+20,2.494014512040758,19437460006.643578,2048.0,28.0
1265594923.3778238,1.484636116216092e+20,2.5165346421087142,19551228290.508305,2048.0,22.0
1429234944.1612675,1.6834766534705064e+20,2.494014512040758,19631442919.256336,2048.0,25.0
1424351714.2334597,1.731895641657912e+20,2.494014512040758,20265308822.617153,2176.0,22.0
1793811467.8356428,2.283489025687542e+20,2.464300850287136,21216360309.060505,2176.0,28.0
1609081596.1667397,2.1491609529263217e+20,2.464300850287136,22260741345.10637,2176.0,25.0
73824689.09803498,5.266353412114683e+18,3.108464556029377,11889322927.187826,640.0,10.0
89818341.10344076,6.829816109677549e+18,3.048504933511402,12673387984.702515,640.0,13.0
105811987.55564724,8.30444246834392e+18,2.998680336233436,13080500392.227232,640.0,16.0
116713664.82856458,1.0798813418939523e+19,2.9496634486869637,15420664230.992733,768.0,12.0
139739843.75952017,1.373087155042666e+19,2.905801241228892,16376707817.679005,768.0,15.0
174943053.48957258,1.910975435841109e+19,2.8583089852635135,18205690344.401245,896.0,14.0
216725450.14705557,2.3968674097387737e+19,2.790606978320643,18432440737.904556,896.0,18.0
195834244.8131977,2.2434743064857084e+19,2.8115866292955167,19093309485.833397,896.0,16.0
305636137.61145467,3.7441746119222125e+19,2.704172606664561,20417386074.298042,1024.0,20.0
278352501.2518727,3.576308031721697e+19,2.7122874933645,21413543472.380516,1024.0,18.0
424609882.2760728,3.0976466847590593e+19,2.736778556603052,12158794908.220528,1280.0,18.0
552482255.198699,4.118797244204996e+19,2.6799733296868915,12425126796.526947,1280.0,24.0
488546084.93455666,3.649524006775557e+19,2.704172606664561,12450289131.080404,1280.0,21.0
509240224.040148,4.084052194668984e+19,2.6799733296868915,13366488616.667095,1408.0,18.0
586598744.4556456,4.727524641447526e+19,2.6480441566036577,13432022843.924868,1408.0,21.0
663957219.884829,5.479317564410615e+19,2.628284835801397,13754193293.158922,1408.0,24.0
724283353.8088524,6.291009573232504e+19,2.616495387341047,14476400569.264822,1536.0,22.0
